name,city,operator_name,regulation_id,reg_plain,count,max_severity,beds
,,,87309(a),Personnel Records — General,3,3,
,,,87465(h)(2),Medications — Self-Administration,3,3,
,,,87465(h)(1)(C),87465(h)(1)(C),3,3,
,,,87303(a),General Facility Maintenance,3,2,
Colonial Acres Residential Care Home,Hayward,"Olivarez, John Ronald",87303(a),General Facility Maintenance,3,2,20.0
Colonial Acres Residential Care Home,Hayward,"Olivarez, John Ronald",87608(a)(3),Dementia Care — Structured Activities,3,2,20.0
Reliez Valley Care Home,Martinez,Jmel Corporation Dba Reliez Valley Care Home,87411(f),Staff Training Records,3,2,6.0
Montgomery Springs Manor,Hayward,"Ltp Horizons, Llc",87608(a)(3),Dementia Care — Structured Activities,3,2,15.0
Fremont Hills,Fremont,Fremont Hills Sr Housing; Atsc Ii Llc,87303(a),General Facility Maintenance,3,2,140.0
,,,87303(a),General Facility Maintenance,3,2,
Regency Palms Long Beach,Long Beach,"Global Regency Snr Care Svcs,llc",87211(a)(1)(D),87211(a)(1)(D),3,2,91.0
K & J Residential Care Home,Fremont,"Liang, Ksai",87506(b),87506(b),3,2,6.0
,,,87608(a)(3),Dementia Care — Structured Activities,3,2,
Pleasant Hill Oasis,Pleasant Hill,Ph Senior Care Llc; Northstar Senior Living Inc,87303(a)(1),87303(a)(1),3,2,49.0
Brittany House,Long Beach,Brittany Healthcare Llc,87211(a)(B)(D),87211(a)(B)(D),3,2,170.0
Brittany House,Long Beach,Brittany Healthcare Llc,87465(a)(4),Medications — Storage,3,2,170.0
,,,87463(i),87463(i),3,2,
,,,87457(c),87457(c),3,2,
,,,87412(g),87412(g),3,2,
,,,87468.2(a)(4),Residents' Rights — Personal Privacy,3,2,
,,,87468.1(a)(2),Residents' Rights — Dignity & Respect,3,2,
Elle's Home,Hayward,Elle's Home Llc,87303(a),General Facility Maintenance,3,2,6.0
Fremont Village,Fremont,Premier Senior Care Group Corporation,87303(a),General Facility Maintenance,3,2,120.0
,,,87458(a),87458(a),3,2,
Elisabeth Care Home,Pleasant Hill,Samuel D'autruche Inc.,87303(a),General Facility Maintenance,3,2,6.0
St. Lourdes Home,Hayward,"Balintona, Justino G.",87303(a),General Facility Maintenance,3,2,6.0
Royal Colony View Place,Hayward,"Royal Colony View Place, Llc",87303(a),General Facility Maintenance,3,2,8.0
Avantgarde Senior Living of la Jolla,La Jolla,Avantgarde Senior Living of la Jolla,87224(a),87224(a),3,2,45.0
"Bethany Home Senior Living, Llc",Livermore,"Bethany Homes Senior Living, Llc",87411(f),Staff Training Records,3,2,58.0
,,,87303(a),General Facility Maintenance,3,2,
"Roundhill Care Homes, Inc.",Alamo,"Roundhill Care Homes, Inc.",87470(a)(2),87470(a)(2),3,2,6.0
,,,87203,87203,3,2,
,,,87411(a),Staff — Direct Care Hours / Staffing Ratio,3,2,
Vanessa Care Home Ii,San Mateo,Rosita Nicolas and Ida Galati,87411(f),Staff Training Records,3,2,6.0
Silverado Senior Living-beverly Place,Los Angeles,Silverado Beverly Place Llc;silverado Sr Lvng Mgmt,87411(a),Staff — Direct Care Hours / Staffing Ratio,3,2,256.0
,,,87211(a)(1)(D),87211(a)(1)(D),3,2,
La Marea Senior Living,Carlsbad,Carlsbad Operating Llc; Integral Snr Lvg Mgmt Llc,87411(a),Staff — Direct Care Hours / Staffing Ratio,3,2,125.0
La Concepcion Residential Care Home,Fremont,"Concepcion, Cristina",87608(a)(3),Dementia Care — Structured Activities,3,2,6.0
La Posada,Whittier,Posada Sl Llc,87307(a)(3)(C),87307(a)(3)(C),3,2,114.0
