name,city,county,county_median_price,severity_index,beds,operator_name
Cogir of Folsom,Folsom,Sacramento,5400,0.2727272727272727,66,Well Ca Wa Tenant Llc; Cogir Management Usa Inc
Almond Heights,Orangevale,Sacramento,5400,0.2620689655172414,145,Almond Heights Msl Llc;msl Community Mgmt Llc
Sunrise Assisted Living of Carmichael,Carmichael,Sacramento,5400,0.25757575757575757,66,Ms Carmichael Sh Llc; Sunrise Senior Living Mgt
Oakmont of Valencia,Valencia,Los Angeles,5800,0.2569444444444444,144,"Oakmont Sr. Lvng. of Valencia Opco, Llc: Oakmont"
La Marea Senior Living,Carlsbad,San Diego,6200,0.256,125,Carlsbad Operating Llc; Integral Snr Lvg Mgmt Llc
Carlton Plaza of San Leandro,San Leandro,Contra Costa,6800,0.25125628140703515,199,"Carlton Senior Living, Llc"
Ivy Park at San Ramon,San Ramon,Contra Costa,6800,0.24691358024691357,162,Well Ivy 6 Tenant Llc;oakmont Management Group Llc
Vista del Lago Memory Care,Escondido,San Diego,6200,0.23958333333333334,96,"Del Dios Care, Llc;bayshire, Llc"
Sunrise Assisted Living of Danville,Danville,Contra Costa,6800,0.23595505617977527,89,Sunrise West Al Gp & Lp; Sunrise Senior Living Mgt
Cogir of South Bay,Torrance,Los Angeles,5800,0.23529411764705882,34,Torrance Operations Llc; Cadence Sl Torrance Llc
Sagebrook Senior Living at San Francisco,San Francisco,San Francisco,8200,0.23423423423423423,111,Eden Villa Prop Llc;integral Senior Liv Mgmt Llc
Ivy Park at Otay Ranch,Chula Vista,San Diego,6200,0.23357664233576642,137,Otay Tenant Llc and Oakmont Management Group Llc
Aegis Assisted Living of Fremont,Fremont,Contra Costa,6800,0.21818181818181817,110,"Aegis Senior Communities, Llc"
Regency Place,Sacramento,Sacramento,5400,0.21311475409836064,61,"Regency Place Acquisitions Opco, Llc;northstar Sr"
Aegis Assisted Living of Aptos,Aptos,Santa Clara,7500,0.21,100,Heather Terrace Aptos Llc;aegis Sr Communities Llc
"Point at Rockridge, the",Oakland,Alameda,7200,0.20967741935483872,186,Ag-acp Rockridge Trs Llc;integral Snr Lvg Mgmt Llc
